title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
CCTV,공포,한국,99분,2021 .07.07 개봉,김홍익,"곽도원, 김단미, 박기륭",15세 관람가,"일명 `CCTV 살인사건`.
 10년 전. 8명이 죽고 1명이 행방불명이 된 전대미문의 살인극.
 바로 이 끔찍한 살인사건의 유일한 생존자를 유튜버가 찾아간다.
 유튜브 채널의 획기적인 조회수와 구독자 증가를 가져올 생존자와의 인터뷰가 시작되자...
 10년 동안 숨겨졌던 끔찍한 사실이 드러나고,
 아직도 끝나지 않았던 복수가 10년 만에 마무리 되는데...
 
 죽음을 부르는 눈동자, CCTV의 공포가 드러난다.",https://movie-phinf.pstatic.net/20210727_176/1627361692878ljB5q_JPEG/movie_image.jpg?type=m203_290_2
F20,스릴러,한국,104분,2021 .10.06 개봉,홍은미,"장영남(애란), 김정영(경화), 김강민(도훈)",15세 관람가,"어디에 내놔도 자랑스러운 아들을 둔 엄마 ‘애란’은
 군 생활을 떠났던 아들 ‘도훈’에게
 조현병이 발병했다는 충격적인 소식을 듣게 된다.
 
 완벽했던 자신의 일상을 빼앗길까 두려운 ‘애란’은
 아들의 병을 숨긴 채 살아가기로 결심하고
 
 그러나, 순조로울 것만 같았던 그녀의 삶에
 유일한 비밀을 알고 있는 ‘경화’가 나타나자
 ‘애란’의 불안은 점점 광기로 변해가는데…
 
 가장 날카롭고 충격적인 영화가 온다!",https://movie-phinf.pstatic.net/20210928_86/16327951839736fzkS_JPEG/movie_image.jpg?type=m203_290_2
UFO 스케치,다큐멘터리,한국,84분,2021 .03.04 개봉,김진욱,"맹성렬(본인), 임병선(본인), 장호동(본인)",전체 관람가,"한 번도 본 적 없는 UFO를 반평생 연구해온
 자타공인 국내 UFO 전문가 맹성렬 교수와
 열정 가득 UFO 목격자들의 순수한 호기심 기행
 
 내일은, 만날 수 있을까요?",https://movie-phinf.pstatic.net/20210225_292/1614228206718j9AkY_JPEG/movie_image.jpg?type=m203_290_2
#아이엠히어,"멜로/로맨스, 코미디",프랑스,97분,2021 .01.14 개봉,에릭 라티고,"알랭 샤바(스테판), 배두나(수)",12세 관람가,"“나도 지금 전성기야!”
 관심이 필요한 오춘기 ‘스테판’은 SNS를 통해 알게 된 ‘SOO’를 통해 활기를 얻는다.
 어느 날, 그녀와 벚꽃을 보기 위해 무작정 한국행 비행기를 타게 된다.
 
 “저녁 8시, 공항에서 만나요”
 들뜬 마음으로 인천공항에 도착한 ‘스테판’은 연락 없는 ‘SOO’를 기다리기 위해
 SNS에 게시물과 함께 그녀를 해시태그하며 기약 없는 공항 라이프를 시작하는데…",https://movie-phinf.pstatic.net/20201229_134/16092193938388fcec_JPEG/movie_image.jpg?type=m203_290_2
가베: 그녀의 숲,멜로/로맨스,스웨덴,101분,2021 .01 개봉,마르쿠스 카스트로,"나탈리 윌리엄스도터, 아델 다르위시",청소년 관람불가,"전쟁으로 인해 고아가 된 ‘모니르’는
 사촌 형을 따라 스웨덴으로 망명한다.
 
 난민 수용 시설 부족으로 머물게 된 어느 시골 마을,
 마을 축제에서 우연히 마주친 소녀에게
 ‘모니르’는 강한 끌림을 느낀다.
 
 난민을 멸시하는 마을 주민들을 피해 찾아간 숲,
 ‘모니르’는 그때 그 소녀 ‘모아’를 다시 만난다.
 
 전쟁의 트라우마로 괴로웠던 소년은
 마침내 소녀의 품 속에서 평화로움을 느끼지만
 그것도 잠시, 세상은 여전히 그를 내버려 두지 않는다.",https://movie-phinf.pstatic.net/20210104_265/1609739960114i96NU_JPEG/movie_image.jpg?type=m203_290_2
가족은 괴로워3: 아내여 장미처럼,"드라마, 코미디",일본,123분,2021 개봉,야마다 요지,"하시즈메 이사오, 요시유키 카즈코, 니시무라 마사히코",전체 관람가,"히라다 가에 도둑이 들어 장남 코노스케의 아내 후미에가 몰래 모아둔 비상금이 사라졌다.
 자신의 몸은 걱정해주지 않고 비상금을 모으고 있던 것에 화를 내는 코노스케에게 후미에는 불만이 폭발하여 집을 나가 버린다.
 집안일을 담당하던 그녀가 사라지자, 어머니 토미코도 몸이 좋지 않아 아버지 슈조가 청소, 빨래와 밥을 하게 된다.
 하지만 익숙하지 않은 집안일에 고생을 하는데...",https://movie-phinf.pstatic.net/20210429_137/1619657745788EoWmO_JPEG/movie_image.jpg?type=m203_290_2
가치 캅시다,드라마,한국,93분,2021 .10.28 개봉,조승원,"김기현, 강형석, 남지우",15세 관람가,"대한민국에서 영어 좀 한다는 남자라면 혹하는, 일생에 단 한 번만 지원할 수 있는 군대 카투사. 엘리트 명문대와 금수저들이 장악한 이 곳에 최종 학력 고졸의 말년 병장 추해진이 있다. 어떤 의미로든 전설로 불리는 해진은 학연, 지연, 혈연까지 온갖 차별이 판치는 한국 탈출을 위한 돌파구로 ‘미군’을 준비한다. 갖은 모욕에도 비굴한 웃음을 잃지 않고 최선을 다한 결과, 미군 입대를 눈앞에 두고 느닷없는 절도사건에 휘말리면서 탄원서에5명의 서명을 받아야만 한다. 절친한 동갑내기 후임, 재벌아들 이등병, 전 여친을 빼앗은 후임, 미군이 되기 위해서라면 선임이고 후임이고 누구에게라도 머리를 조아리고 한 명씩 찾아 나선다. 인종주의자 미군헌병에게 총을 맞을 뻔하면서까지 고군분투하던 해진은 필사적으로 서명을 받아내지만, 자신이 미군이 된다는 것을 지독히 반대하는 누군가를 설득해야 하는 마지막 절차가 남았는데...!
 
 “아무 것도 가진 것 없는 네가 잘 되는 게 그냥 싫어!”
 한국을 벗어나기 위한 선택지가 미군이 되는 것, 그 하나만이 아니었다?!
 눈 돌아간 해진의 충격적인 반격을 확인하라!",https://movie-phinf.pstatic.net/20211001_160/1633063657353gzXeR_JPEG/movie_image.jpg?type=m203_290_2
간이역,드라마,한국,101분,2021 .02.18 개봉,김정민,"김동준(백승현), 김재경(한지아)",12세 관람가,"그녀의 마지막 사랑이 되고 싶은 남자 ‘승현’
 그의 마지막 기억이 되고 싶은 여자 ‘지아’
 서로의 마음을 확인하기도 전에 멀어진 두 사람.
 
 7년 뒤, 고향으로 돌아온 '지아'는
 파티셰로서 성공한 승현을 마주하게 된다.
 
 서로를 향한 오랜 마음을 비로소 움직인 두 사람은
 행복의 순간을 함께 나누며 다시 사랑에 빠지는데…
 
 우리가 써 내려간 기억의 한 페이지,
 너에 대한 건 모든 걸 기억할게",https://movie-phinf.pstatic.net/20210202_233/16122575810739bfA3_JPEG/movie_image.jpg?type=m203_290_2
갈매기,드라마,한국,75분,2021 .07.28 개봉,김미조,정애화(오복),15세 관람가,"잘못은 그 새끼가 했는데, 나한테 가만히 있으란다
 한강에 배 한 번 지나간 게 뭔 대수냐고 그란다
 젊은 사람 발목 잡아 좋을 게 뭐가 있냔다
 일평생 스스로를 챙겨본 적 없는 오복은
 가족도 세상도 외면한 자신을 위해 처음 펄떡인다
 
 “이 사람 저 사람 죄다 눈치보면 나는 언제 챙겨?”
 
 세상을 향한 엄마 ‘오복’의 날갯짓이 시작된다",https://movie-phinf.pstatic.net/20210714_292/162622480175929f7c_JPEG/movie_image.jpg?type=m203_290_2
강호아녀,"드라마, 멜로/로맨스",중국,135분,2021 .06.10 개봉,지아장커,"자오 타오, 리아오판, 펑 샤오강",15세 관람가,"중국 산시성 다통시에 사는 ‘차오’와 이 지역의 조직보스 ‘빈’은 연인 사이다.
 
 라이벌 갱단과의 싸움 도중 ‘차오’는 ‘빈’을 보호하기 위해 총을 발포하게 되고
 그로 인해 감옥에 5년간 복역하게 되지만 ‘빈’은 단 한 번도 그녀를 찾아오지 않는다.
 
 출소한 ‘차오’는 새로운 시작을 위해 ‘빈’을 찾아가지만 그는 이미 새로운 여자친구와
 ‘차오’가 없는 대도시에서의 삶을 살아가는 중이었다.
 
 시간이 흘러 ‘차오’ 또한 ‘빈’이 없는 일상에서 평온하게 지내고 있던 중에 ‘빈’이 찾아오는데…
 
 17년 간의 질긴 인연, 지아장커가 선사하는 현실 로맨스!",https://movie-phinf.pstatic.net/20210512_5/1620803268968udbg5_JPEG/movie_image.jpg?type=m203_290_2
개그 더 크라운,"코미디, 공포",미국,90분,2021 .07.15 개봉,아담 크라우스,"로렌 애슐리 카터, 트레이시 페레즈",15세 관람가,"그린베이에 신원미상의 누군가가 광대 복장을 한 채 거리를 배회해 주목을 받는다.
 어떤 사람들이 악의 없는 장난이라 여기고, 또 어떤 사람들은 섬뜩하고 무서운 행동이라 비난한다.
 특종을 찾는 기자와 겁 없는 아이들, 그리고 팟캐스트의 진행자까지 '개그'라고 불리는 광대를 찾아다니고,
 결국 마주한 공간에서 섬뜩한 모습을 보게 되는데...",https://movie-phinf.pstatic.net/20210723_133/1627003929175AbxLs_JPEG/movie_image.jpg?type=m203_290_2
건담 G의 레콘기스타 2: 벨리 격진,"애니메이션, SF, 액션",일본,94분,2021 .08.06 개봉,토미노 요시유키,"이시이 마크(벨리 제남), 시마무라 유우(아이다 스루간), 후쿠이 유카리(라라이야 먼데이)",12세 관람가,"벨리 일행을 구출하기 위해 출격한 ‘델렌센’이 해적 부대의 메가파우나를 급습한다.
 싸움의 상대가 자신의 스승 ‘델렌센’임을 깨닫지 못한 채 G-셀프 안에서 치열하게 맞서 싸우는 ‘벨리’.
 한편, G-셀프 기체와 함께 ‘라라이야 먼데이’까지도 노리고 있는 캐피털 아미는 마스크 부대를 연이어 출격시킨다.
 그 배후에 있는 위협적인 존재는 과연 무엇이며, ‘벨리’와 ‘아이다’는 캐피털 아미를 막아낼 수 있을 것인가?",https://movie-phinf.pstatic.net/20210730_26/1627610398305yge1y_JPEG/movie_image.jpg?type=m203_290_2
건파우더 밀크셰이크,액션,프랑스,115분,2021 .09.08 개봉,나봇 파푸샤도,"카렌 길런, 레나 헤디, 안젤라 바셋",청소년 관람불가,"남다른 유전자와 조기교육으로 완성된
 혈중 액션농도 100%! 영앤스트롱 킬러 ‘샘’
 15년 전, 업계에서 홀연히 사라졌던 실패율 0% 킬러이자 ‘샘’의 엄마 ‘스칼렛’
 폭발적 지성이 잠들어 있는 시크릿 에이전시, ‘도서관’의 ‘킬’사부일체 3인방!
 
 그들의 운명을 찢어 놓은 놈들을 날려버릴
 달콤하고 시원한 복수가 시작된다!",https://movie-phinf.pstatic.net/20210810_48/1628580090915xW3Yd_JPEG/movie_image.jpg?type=m203_290_2
걸,드라마,독일,105분,2021 .01.07 개봉,루카스 돈트,"빅터 폴스터(라라), 아리 보르탈테르(마티아스)",15세 관람가,"소년과 소녀의 경계에서
 '발레리나'를 꿈꾸는 16살 '라라'
 호르몬 치료와 학업을 병행하며
 진정한 자신을 찾기 위한
 용기를 내기 시작한다.",https://movie-phinf.pstatic.net/20201228_196/1609130132957Cuqgc_JPEG/movie_image.jpg?type=m203_290_2
게임의 법칙: 인간사냥,스릴러,한국,84분,2021 .01.28 개봉,이수성,"김성수(정환), 조경훈(동일), 서영(미연)",청소년 관람불가,"비밀스러운 과거를 간직한 ‘정환’,
 과거를 정리하기 위해 찾아간 외딴섬에서 또 다른 여행객들과 마주하게 된다.
 
 모두 함께 머물게 된 게스트하우스에서
 ‘정환’ 홀로 묘한 분위기를 느끼고 주인 남자를 경계하지만
 어느새 그들의 표적이 된 자신을 발견하게 된다.
 
 위험한 상황에서 가까스로 탈출하는 데 성공한 순간
 또 다른 의문의 존재와 맞서 필사의 사투를 벌이게 되는데…
 
 섬의 위험한 비밀을 파헤치는 순간,
 광기의 추격이 시작된다!",https://movie-phinf.pstatic.net/20210125_242/16115429890056J44a_JPEG/movie_image.jpg?type=m203_290_2
경고,"공포, 스릴러",영국,87분,2021 .10.20 개봉,다미안 맥카시,"벤 캐플란(배럿), 조나단 프렌치(아이작), 레일라 사익스(올가)",15세 관람가,"친구의 부탁으로 조카를 봐주기로 한 아이작.
 어마어마한 보수에 수락했지만 기묘한 조건이 붙는다
 #1. 이동을 제한하는 사슬 조끼를 입을 것
 #2. 조카의 방에 들어가지 말 것
 #3. 허락 없이 집을 떠나지 말 것
 외딴섬에 위치한 미로 같은 집과 석궁을 들고 다니는 조카, 섬뜩한 토끼 인형까지…
 이곳에서 미치지 않고 버틸 수 있을까?",https://movie-phinf.pstatic.net/20210929_51/1632903879538uYp4J_JPEG/movie_image.jpg?type=m203_290_2
고백,"드라마, 범죄",한국,99분,2021 .02.24 개봉,서은영,"박하선(박오순), 하윤경(김지원), 감소현(윤보라)",15세 관람가,"국민 일인당 천원씩 일주일 안에 1억 원이 되지 않으면 유괴한 아이를 죽이겠다는 전대미문의 유괴사건이 일어난다.
 천원 유괴사건이 전국민적인 관심사로 떠오르는 사이,
 사회복지사인 ‘오순’이 돌봐주던 ‘보라’라는 아이의 아버지가 숨진 채 발견되고, 보라 역시 어디론가 사라졌다.
 사건을 조사하던 신입 경찰 ‘지원’은 보라 아버지는 물론 학대부모들의 불의를 참지 못했던 오순을 의심하는데…
 학대하는 부모, 구해주는 유괴범. 우리는 누구 편에 서야 하나요?",https://movie-phinf.pstatic.net/20210323_142/1616486373585xOa7v_JPEG/movie_image.jpg?type=m203_290_2
고스트 킬러 vs 블러디 메리,"공포, 액션",브라질,108분,2021 .01.14 개봉,파브리시오 비타르,"다닐로 젠틸리, 삐에르따 퀸텔라",청소년 관람불가,"초자연적 현상에 일가견이 있는 유튜버 네 사람은 ‘고스트 킬러’라는 명칭으로 SNS에 유령 퇴치 영상을 올리며 활동 중이다. 그러던 어느 날, 학교 화장실에서 유령의 공격을 받은 학생이 혼수상태에 빠졌다며 악령을 퇴치해 달라는 의뢰를 받고, 영상 조회 수를 올려 TV 방영권을 따내기 위해 고군분투하던 네 사람은 흔쾌히 학교로 향한다. 화장실에서 출몰한다는 금발 머리 소녀 귀신을 잡기 위해 학교에서 밤을 새우던 네 사람은 생각보다 더욱 강력한 악령의 힘에 속수무책으로 당한다. 학교는 서서히 피로 물들고, 그 안에 감춰진 어두운 비밀이 하나씩 모습을 드러내기 시작하는데…",https://movie-phinf.pstatic.net/20201223_152/1608708396997D7s4F_JPEG/movie_image.jpg?type=m203_290_2
고양이에게 밥을 주지 마세요,다큐멘터리,한국,79분,2021 .11.04 개봉,"김희주, 정주희",권나영(본인),전체 관람가,해가 저물면 골목 구석구석에 전동 흴체어 소리가 울린다. 나영은 매일 밤낮으로 고양이들의 밥을 챙기는 ‘캣맘’이다. 선천적인 장애와 악화되는 병세로 그는 자신의 끼니도 챙기기 버겁다. 사람들은 그를 나무라지만 권나영은 꿋꿋이 길고양이를 돌보며 살아간다. 가장 낮은 곳에서 길고양이의 동반자를 자처한 그의 삶을 따라가 본다.,https://movie-phinf.pstatic.net/20201006_256/160195145841627gdd_JPEG/movie_image.jpg?type=m203_290_2
고질라 VS. 콩,액션,미국,113분,2021 .03.25 개봉,애덤 윈가드,"알렉산더 스카스가드(네이선 린드), 밀리 바비 브라운(매디슨 러셀)",12세 관람가,"거대 몬스터들의 습격을 받은 지 3년 후, 콩은 스컬 아일랜드를 떠나 인간들의 보호관찰을 받고 있다. 한편, 인간들에게 등을 돌린 고질라는 비밀연구회사인 에이펙스에 존재하는 알 수 없는 힘에 이끌려 그곳을 쑥대밭으로 만든다. 위기 상황 속, 지구 안의 또 다른 지구인 할로우 어스의 에너지원을 찾아야만 인류가 안전할 수 있다는 판단하고 콩의 보호자들은 콩과 특별한 유대감을 형성하는 아이 지아와 함께 타이탄들의 고향일지 모르는 그 곳으로 위험한 여정을 떠난다. 그러던 중 분노에 찬 고질라의 공격을 받고, 마침내 맞붙게 된 두 전설의 장대한 대결은 앞으로 닥쳐올 대재앙의 서막에 불과했는데…
 
 세상의 운명을 놓고, 지구상 가장 거대한 신화적 존재들의 스펙터클한 대격돌이 시작된다!",https://movie-phinf.pstatic.net/20210310_199/1615367075185E9pMt_JPEG/movie_image.jpg?type=m203_290_2
골든맨,"범죄, 드라마",이탈리아,104분,2021 .01.27 개봉,빈센조 알피리,"지암파올로 모렐리(루이지 메로니), 파비오 드 루이지(알비제 자고), 에도아도 레오(니콜라(울프))",15세 관람가,"지긋지긋한 생활에서 벗어나 한탕만을 노리는 우체국 운전사 ‘메로니’
 가난의 늪에 허덕이며 아득바득 성질을 죽이며 사는 집배원 ‘자고’
 퇴물로 전락한 밑바닥 인생의 전직 복싱 선수 ‘니콜라’(a.k.a ‘울프’)
 
 마지막 한탕을 노린 완전범죄를 계획한 그들은
 서로 다른 속내를 숨긴 채 한배에 올라타게 되는데…",https://movie-phinf.pstatic.net/20210112_84/1610414549103EvNE5_JPEG/movie_image.jpg?type=m203_290_2
공작조: 현애지상,"범죄, 드라마, 스릴러",중국,120분,2021 .09.16 개봉,장이머우,"장한위, 위허웨이, 주아문",15세 관람가,"냉전이 감도는 1931년 중국,
 소련에서 훈련을 받고 돌아온 4명의 특수요원은
 작전명 ‘새벽’이라는 비밀 임무에 착수한다.
 
 순조로울 것만 같았던 그들의 작전은
 한 반역자에 의해 위협에 휩싸이게 되고
 
 그 누구도 믿을 수 없는 일말의 상황 속,
 이들의 숨통은 점점 조여오기 시작하는데..
 
 1931년, 암호명 ‘새벽’
 조국을 위한 이들의 작전이 시작된다!",https://movie-phinf.pstatic.net/20210917_12/1631847362405tvt9o_JPEG/movie_image.jpg?type=m203_290_2
관계의 가나다에 있는 우리는,드라마,한국,100분,2021 .01.28 개봉,이인의,"은해성(박민규), 오하늬(최한나), 이서윤(박주희)",전체 관람가,"언제나 잔고 제로인 미생 ‘민규’.
 어린 시절 캐나다로 피겨 유학을 떠났다가 은퇴를 하고 돌아온 ‘한나’.
 친생부모를 찾아 한국으로 온 프랑스 입양인 ‘주희’.
 
 전혀 연관성이 없는 세 청춘에게
 냉혹하게만 보이는 한국 사회 속에서
 꿈을 위해 노력하는 청춘의 첫 설렘을 마주하다",https://movie-phinf.pstatic.net/20201230_56/16092940882404loD5_JPEG/movie_image.jpg?type=m203_290_2
괴기맨숀,공포,한국,106분,2021 .06.30 개봉,조바른,"성준(지우), 김홍파(관리인), 김보라(다혜)",15세 관람가,"공포 웹툰 작가 지우는 아이디어를 찾아 괴기맨숀이라 불리는 허름한 아파트에 도착한다.
 표정을 알 수 없는 중년의 관리인은
 이 아파트에서 일어났던 기묘한 사건들에 대해 이야기보따리를 풀어내고,
 504호, 708호… 지우는 사연을 들을수록 홀리기라도 한 듯 괴기맨숀에 점점 집착하게 되는데...!
 
 미스터리한 맨숀! 5개의 에피소드! 괴이하고 섬뜩한 현실 공포가 온다!",https://movie-phinf.pstatic.net/20210601_201/1622537257870D809T_JPEG/movie_image.jpg?type=m203_290_2
구독좋아요알림설정,"코미디, 스릴러, 범죄",미국,93분,2021 .05.19 개봉,유진 코틀야렌코,조 키어리,청소년 관람불가,"‘커트의 세상’을 운영하는 10년차 듣보 크리에이터 ‘커트’(조 키어리)는
 100만 유튜버를 꿈꾸지만 조회 수는 두 자릿수를 넘긴 이력없이 늘 미미하기만 한다.
 대박 낼 아이템을 찾던 그는 카풀 서비스를 이용해 자신의 차에 탑승하는 승객들과
 소통하는 모습을 실시간으로 방송하는 ‘더 레슨’을 기획하게 되고
 높은 조회수를 위해 점점 더 자극적이고 광기어린 라이브를 진행하게 되는데…
 
 “너도 내가 궁금하잖아”
 살고 싶다면 잊지 말고 <구독좋아요알림설정>",https://movie-phinf.pstatic.net/20210512_175/1620780326576GThXb_JPEG/movie_image.jpg?type=m203_290_2
구원,스릴러,한국,104분,2021 .04.08 개봉,이창무,"김대건(최석재), 이상인(반효정원장), 고관재(고달수)",청소년 관람불가,"깊은 어둠이 드리워진 그곳…
 심장도 얼어붙을 만큼 추운 겨울, 밀양호에서 진숙의 시체가 발견된다.
 관할서 경찰들은 자살로 사건을 종결하려 하지만 서울에서 내려온 형사 최석재는 그녀의 죽음이 석연치 않다. 홀로 사건을 파고들던 석재는 늦은 밤 교통사고를 당하고, 낯선 기도원에서 눈을 뜬다. 그곳엔 구원을 바라는 사람들과 그들을 이끄는 원장 반효정이 있다.
 
 감춰진 진실이 드러난다!!
 외부와의 접촉이 철저히 차단된 기도원에 갇힌 석재는 매일 밤 기이한 의식을 벌이는 그곳 사람들에 대한 의심이 커지던 중, 죽은 진숙도 신도였단 사실을 알게 된다. 그리고 마침내 찾아온 구원의 날. 충격적인 진실이 밝혀지는데…
 
 2020 카도마영화제 해외영화 우수작품상 수상",https://movie-phinf.pstatic.net/20210317_181/1615942605513x7IIb_JPEG/movie_image.jpg?type=m203_290_2
굴뚝마을의 푸펠,"애니메이션, 판타지",일본,100분,2021 .05.26 개봉,히로타 유스케,"아시다 마나(루비치 목소리), 쿠보타 마사타카(푸펠 목소리)",전체 관람가,"새까만 연기로 뒤덮인 굴뚝마을에서는
 1. 하늘을 올려다보지 말 것
 2. 꿈을 믿지 말 것
 3. 진실을 알려 하지 말 것
 
 별의 존재를 믿고 있는 외톨이 ‘루비치'와
 쓰레기에서 태어난 ‘푸펠'
 
 친구가 된 두 사람이
 세상의 진실을 찾는 거대한 모험을 시작한다!",https://movie-phinf.pstatic.net/20210506_164/1620277609542X5o2T_JPEG/movie_image.jpg?type=m203_290_2
