title,score,content,write_date,source_site
나의 특별한 형제,2.0,"어린 어른의 무책임한 책임, 그럼에도 남아있는 희망의 불씨.",null,watchapedia
나의 특별한 형제,2.5,신하균은 튀고 이솜은 의아한 와중에이광수가 떠받들고있는 모양새제작진도 주제 면에서어느곳에 힘을줄지 모르고 만든 듯 하다,null,watchapedia
나의 특별한 형제,2.0,장애인과 비장애인으로 나눈다,null,watchapedia
나의 특별한 형제,3.0,디질래 맞짱뜨까 지예 바보 아니다.이거 보고 울 줄 알았냐. 이쒸.. 매너없게 쿠키에서 울리다니. 눈물 닦을 시간은 줘야지. 친구가 비웃자나... 힝..근데 마냥 최루성도 아닌게 장애인과 소수자에 대한 생각이 영화가 끝나고 나서도 이어지더라.,null,watchapedia
나의 특별한 형제,3.0,"시리, 너 답답할 때 많았어...",null,watchapedia
나의 특별한 형제,2.0,실패한 머랭치기.....#부드럽고풍성하고끈끈한거품이아니구나#신하균김광수이솜아무리섞어도따로논다#각각의캐릭터속에상대에대한배려가없다#그나머지인물들은기억조차나지않을정도,null,watchapedia
나의 특별한 형제,3.0,"한없이 뻔하고 착하다는 것이 단점이기도 하면서 큰 장점으로도 다가오기도 할줄이야. 아직까지도 대중 오락영화에 이런 수법이 통해서 더 놀라웠던.... 연출과 각본에 있어서는 너무나 전형적이고 촌스럽기 그지없지만 그 덕분에 울다가 웃다가를 반복하면서 어찌나 이 작품이 한없이 착하고 순해보이던지. 어찌보면 <나의 특별한 형제>가 장애인에 관련된 소재를 다루는 방식이 다소 가볍다고 느껴질 법도 하지만 그 가벼움 안, 어딘가에서 느껴지는 여운과 울림 그리고 은연중에 던지는 묵직한 사회적 메세지는  관객들에게 제법 큰 인상을 주는것 또한 부정할수 없다. 덤으로 그리 훌륭한 연기를 선보인 것은 아니지만 신하균과 이광수의 끈끈한 케미스트리와 이전 <7번방의 선물>, <그것만의 내 세상>같은 심한 억지 신파를 보여준 다른 한국영화에 비해 과하지 않고 담백하게 표현 함으로써 아주 얕은 수준의 적정 선을 지키는 신파 또한 이 작품을 추천하는 이유이기도 하다.- 꼭 혈연관계가 아니더라도 약한 사람들끼리 모여 서로가 서로의  부족함을 채워주고 서로를 의지하며 평생을 살아가고 함께하면서 강해진다는 것, 이것 또한 진정한 가족이라고 할 수 있지 않을까.",null,watchapedia
나의 특별한 형제,3.5,"웬지 알면서도 당하는 기분이든다. 신하균과 이광수.. 연기 정말 잘한다. 특히 이광수.. 런닝맨 때문에 초반에 자꾸 웃음이 나와서 집중하기 힘들었는데.. 잔움직임, 집중력! 아주 뛰어난 연기자가 되었다. 런닝맨에서 그런대우 받을 사람 아닌듯 한데.... ㅋㅋ이 영화만 보면... 세상사람 다 따뜻하게 보인다... ㅎ 생각보다 행복하다.!!#19.8.23 (1083)#모카 음악이 이런 가사였구나... ㅋㅋ",null,watchapedia
나의 특별한 형제,1.5,"이 스토리를 가지고, 무엇이 문제인건지 감동도 재미도 눈물도 없다.강철대오? 방가방가? 음....  문제를 알거같기도 하다.누군가 명작으로 다시 제작해주길... 이대로 묻히기는 아쉬운 스토리.",null,watchapedia
나의 특별한 형제,2.0,"'나의 특별한 형제'는 서로를 돌보는 지적 장애인과 지체 장애인 콤비에 대한 감동 드라마다. 전반적인 홍보에서 이 영화에서 많이 촌스럽고 올드한 최루성 드라마의 느낌이 나긴 해서 걱정스럽긴 했으나, 신하균, 이광수, 이솜은 모두 내가 많이 응원하는 배우들이라 나름대로의 기대는 있었다. 내 우려는 반만 맞았다. 이 영화는 굉장히 낡은 냄새가 난다. 하지만 최루성은 아니다. 그러기엔 너무 재미도 감동도 없다. 우선 배우들에 대해 이야기해보자면, 신하균과 이솜은 상당히 실망적이었다. 우선 신하균은 강렬한 표정 연기들을 자주 보여주긴 했으나 연기톤이 너무 과장된 순간들도 많아서 좀 걷잡을 수가 없었다. 지체 장애인 역할이기 때문에 오로지 말과 표정으로 연기를 해야했기 때문에 그런 점들이 더욱 아쉽게 느껴진다. 한편 이솜은 캐릭터 자체도 좀 애매하게 떠서 그런지 배우 본인도 연기톤을 잘 못 잡고 있는 것 같았고, 그 때문에 대사 전달이나 감정 연기가 좀 어색하게 느껴졌다. 이광수가 제일 인상적이었다. 지적 장애인 역할로서 신체적 연기도 상당히 잘 했지만, 아무 생각 없어 보이는 표정 뒤에 은은하게 표출되는 다양하고 성숙한 감정들과 갑작스럽지만 이유있는 감정적 폭발까지 모두 잘 표현하며, 이 영화의 감정적 기둥이 돼줬다. 보통 장애인을 다루는 영화들은 이들의 장애에도 불구하고 이들이 극복해야할 무언가를 던져주며 이야기를 전개한다. 그런데 이 영화는 두 주인공이 극복해야할 대상이 결이 다르다. 이들의 삶을 가로막는 것은 이들의 장애가 아니라, 가족이라는 관념이다. 서로의 곁에 있어줘야할 존재가 누구인지, 가족이란 무엇인지를 주제로 삼으며, 영화는 서로를 상보하며 세상의 어려움을 헤쳐나가는 특별한 관계에 주목한다. 이들의 장애와 세상의 시선은 이들의 관계가 지금까지 이겨내왔고 앞으로도 쭉 이겨낼 사이임은 틀림없다. 그리고 혈연이라는 강렬한 세력을 개입시키며 이 관계 자체를 위협하는 발상은 괜찮았던 것 같다. 문제는 이 모든 기승전결에 극적 위기감이 전혀 없다는 것이다. 그 어떤 순간에도 주인공들 사이에 심한 갈등이 느껴지지도 않고, 넘지 못할 수도 있는 장애물이 등장했다는 생각이 들지도 않으며, 너무 뻔하고 무난하게 결말로 흘러간다. 그런 면에서 영화가 자아내는 감정은 인간 승리나 깊은 우정에 대한 감동이 아니라, 이 둘이 서로 떨어져있을 때의 각자에 대한 동정심에 가깝다. 다시 말해, 이 영화가 노리는 듯한 감정선은 ""큰일나는 줄 알았지만 역시나 해낼 줄 알았어!""가 아니라, ""역시 이러니까 불쌍하네... 다시 돌려놔라""다. 그런 면에서 이 영화에는 기본적으로 감정이 쌓이고 폭발하고 소강되지 않고 그냥 갈팡질팡하는 듯하다. 영화의 음악도 어느 부분에서 웅장하게 바이올린을 켜야할지 모르고 드라마가 조금이라도 있으며 음악을 최대한 과장되게 튼 듯한 느낌이 들었다.",null,watchapedia
