title,score,content,write_date,source_site
나이팅게일,2.5,참혹한 제노사이드 역사를 노골적으로 묘사하고 직접적으로 고발한다.,null,watchapedia
나이팅게일,1.5,"진보적인 척하면서 뚝심있지도 않고, 정작 힘줘야할때는 아무런 힘도 주지 못하고, 주인공이 목표를 잃어버리면서 영화도 길을 잃어버린, 그러면서 어줍잖게 사회적 메세지는 넣으려고 하는, 정말 보면서 화가 나는 몇 안되는 최악의 영화.",null,watchapedia
나이팅게일,2.0,존나 재미없네...폭력적으로 그려진 불쾌하기만한 시작과 시원찮고 신선하지 못한 복수방법..거기다 바리바리 잔잔바리 뚜벅뚜벅이 진행..그러면서 되도안한 사회적 의미주입하려 애쓰고..'흑인과 여자'방향은 맞아도 방법이 별로다.,null,watchapedia
나이팅게일,2.0,이걸 타란티노에게 줬다면적어도 한갈래 정도는 확실하게 끝을 봤을 것이다이 영화는 잡는것 만으로도 힘들다며어느쪽도 깊숙히 찌르려하지 않는다.이럴거라면 있는 그대로의 다큐를 보여주는게백만배 낫다,null,watchapedia
나이팅게일,3.5,"야심찬 병사에게 강간당하고 가족을 잃은 그녀의 복수...힘이 없어도, 연약해도, 나약해 보여도... 그녀만의 낼 수 있는 목소리로 소리쳤다.약하다고, 인디언이라고 억압하고 죽이던 시절..그시절, 한 여성의 슬픈 삶이 남겨졌다.#19.11.27 (1694)#구슬픈 노래 #이별",null,watchapedia
나이팅게일,2.0,첫 번째의 패기는 어디가고 갑자기???이 영화가 말하고자 바는 알겠다만 너무나 불편하고 노이해 부분들이 그 뜻을 가려버린다+ 쿠폰 남아서 억지로 봤더니 20년 마지막 날을 이렇게 찝찝하게 보내게 될 줄이야...,null,watchapedia
나이팅게일,2.5,복수극임을 부정하기라도 하듯이 이것저것 넣은 느낌이다. 라스트씬이 뻥터지는 맛이 없다.슬픈역사의 한편을 보여주지만 도구로서 사용된 것같다.,null,watchapedia
나이팅게일,4.0,"클레어(아이슬링 프란쵸시)는 영국군에 의해 아일랜드에서 오스트레일리아로 끌려온 죄수다. 그곳에서 형기를 살며 남편을 만나 결혼하고 아이를 낳았다. 그와 남편은 영국군 중위 호킨스(샘 클라플린) 밑에서 일하고 있다. 하지만 형기를 다 채운 이후에도 호킨스가 약속한 통행증을 주지 않자, 클레어의 남편은 호킨스를 때리고 만다. 그날 밤, 호킨스와 부하들은 클레어의 오두막에 찾아와 남편과 아기를 살해하고 클레어를 강간한 뒤 다른 마을로 떠난다. 살아남은 클레어는 길잡이인 원주민 빌리(베이컬리 거넴바르)를 고용해 이들의 뒤를 쫓는다. <바바둑>으로 이름을 알린 제니퍼 켄트의 신작 <나이팅게일>은 익숙한 여성수난극/복수극의 전개를 쫓는다. 하지만 136분의 짧지 않은 러닝타임은 수단에서 복수로 이어지는 전개를 성실하게 따라가는 것에 그치지 않는다. 클레어와 빌리의 동행은 클레어가 겪은 고통과 수난을 넘어 오스트레일리아의 역사로 확장되기 때문이다.오스트레일리아는 영국의 식민지였다. <나이팅게일>은 영국의 식민지배 하에 놓인 1825년의 오스트레일리아를 담아낸다. 원주민들은 학살당하고, 살아남은 원주민들은 아직 개발되지 않은 오스트레일리아의 숲 속을 이동하는 백인들의 길잡이로 생활을 유지하고 있다. 클레어처럼 끌려온 죄수들은 영국군의 노예처럼 살아간다. 영화는 크게 두 종류의 폭력을 묘사한다. 여성에 대한 남성의 폭력, 타인종에 대한 백인의 폭력. 이는 곧 제국주의적 침략을 본격화하고 계속해서 새로운 지역을 식민화하는 영국-백인-남성의 폭력이다. 그 인해 밑바닥으로 끌려내려 온 두 사람은, 고향에서 먼 곳으로 끌려오거나 고향 자체를 상실한 이들이다. 때문에 두 사람의 만남은 우연이지만 동시에 필연적이다. 백인 여성인 클레어가 빌리를 경계하다 동행이 길어지며 모종의 연대감을 나누는 과정은 그 우연을 필연으로 변화시킨다.이 지점에서 지난 10월에 본 켈리 라이카트의 <퍼스트 카우>가 떠올랐다. 사실 두 영화는 꽤 많은 부분에서 닮았다. 19세기 초라는 시간적 배경, 서부개척시대와 식민시대라는 제국주의적 시공간, 두 영화의 숏들을 섞어 놓더라도 분간할 수 없을 만큼 유사한 숲의 이미지, 1.37:1이라는 화면비. 광활해 보이는 숲의 높이 솟은 나무와 화면을 가득 뒤덮은 덤불 사이에서 쪽잠을 청하는 인물들의 모습은 좁은 화면비 속에서 어떤 감옥처럼 느껴지기도 한다. 다만 <퍼스트 카우>의 숲은 두 주인공이 은신하는 공간이었다면, <나이팅게일>의 숲은 두 주인공이 추격을 펼치는 곳이자 생명의 위협에 대비해 항상 긴장해야 하는 곳이며, 더 나아가 클레어가 겪은 고난의 트라우마가 미로처럼 펼쳐지는 공간이다. 때문에 <퍼스트 카우>가 자발적이고 사적인 연대와 우정을 다룬다면 <나이팅게일>은 밑바닥으로 내몰린 아일랜드인 여성과 원주민 남성의 생존에 대한 연대라는 점에서 크게 달라진다.즉 <나이팅게일>은 영국 제국주의의 주요 희생자인 여성과 오스트레일리아 원주민의 뜻밖의 연대를 향해 나아간다. 여기엔 통쾌한 복수는 없다. 그런 복수는 클레어와 빌리가 할 수 있는 일의 범주를 넘어서는 것이다. 더군다나 영화 속에서 가장 통쾌하다고 할 복수는 클레어와 그의 가족을 공격한 이들 중 가장 소극적인 이에게 가해진다. 문명의 탈을 쓴 가부장제적 제국주의는 그것을 온전히 수행하지 못하는 이를 탈락시켜버린다는 것일까? 그렇게 볼 수도 있겠지만, <나이팅게일>은 단순히 ‘눈에는 눈, 이에는 이’의 방식으로 복수하는 것으로 끝나지 않는다. 영화는 ‘나이팅게일’의 목소리를 가졌다고 불리는 클레어와, 부족의 거의 유일한 생존자인 빌리가 각자 노래하는 모습을 보여준다. 클레어는 영국군 앞에서 부르던 영어 노래 대신 아일랜드어로 된 노래를, 빌리는 부를 수 없었던 부족의 노래를 부른다. 그러고 보니 클레어는 나이팅게일이고 빌리는 망가나(그의 원주민 이름으로 ‘검은 새’라는 뜻)이다. 두 사람은 마침내 자신의 말로 노래한다. 두 사람의 동행은 이 노래를 향한 것이었다.",null,watchapedia
나이팅게일,3.0,"절제하지 않고 표출하는 폭력과 분노, 그리고 그 속에서 복수의 쾌감 대신 찾아낸 연대의 아름다움.",null,watchapedia
나이팅게일,3.0,심장을 난도질하고 얼굴을 짓이기는 복수를 넘어 새세상의 희망을 노래하노라.,null,watchapedia
