title,score,content,write_date,source_site
쁘띠 마망,4.0,"안녕. 반가워. 또 와. 사람이 지나가는 짧은 시간 동안 아이는 목줄이 허락하는 반경 안에서 앞발을 가장 멀리까지 쳐들고 인사해 줬다. 저렇게 사람을 좋아해서 집을 어떻게 지키누. 누가 타박했더니 할머니가 그랬다. 나이 먹으면 짖는다. 사람을 보면 반가워 어찌할 줄 모르고 반원을 그리다 한켠에 개켜놓은 자기 똥을 다지고 밥그릇을 엎어도 그 아이는 누군가 다가가면 허락하는 모든 부분을 핥아 주느라 정신이 없었다. 그렇게 시간이 지나 그 자리를 다 돌고 나서, 그 아이는 결국 마음 속 태엽이 부러졌고. 짖었다. 할머니 집 강아지 이름은 모두 같았으므로 그 아이가 닭장을 찢고 닭을 물은 개였는지, 새끼 낳았다고 끓여준 미역국을 다 엎어뜨린 신랑 개였던지 기억이 희미하다. 이제 할머니 집은 허물어져 밭이 되었다. 추석에 성묘하고 밭을 지나오다 개집이 있던 녘서 고구마 잎을 땄다. 안녕 반가워 또와 그 자리 심어져있던 마음만큼 따왔다",null,watchapedia
쁘띠 마망,4.0,"같은 두려움들과 같은 상실들을 겪으며 똑같이 시간을 따라 온, 생각보다 나와 많이 닮은 당신을 사랑합니다.On the unexpected hellos and goodbyes of familial ties. Such worldly and timely rhymes.",null,watchapedia
쁘띠 마망,5.0,결국 너와 함께하는 꿈내 마음이 네 마음 안에 있다면네 마음이 내 마음 안에,null,watchapedia
쁘띠 마망,3.5,"- ""그랬을 거야, 이미 내 마음속에 네가 있거든.""당신의 이름을 부름으로써 온전해지는 두 개의 마음.안녕, 꼬마 엄마.",null,watchapedia
쁘띠 마망,4.0,"당시엔 알 수 없지만 시간이 흐르면서 조금씩 깨닫게 되는 소중한 감정들이 있다. <쁘띠 마망>은 이 부분들을 제대로 그려냈다.아름다웠던 시절,소중한 사람,간절한 마음을 돌아보며 힘겨운 현실에 지친 우리를 위로하는 영화 <쁘띠 마망>.향수 이름에서 따온 제목처럼 아련하고 은은한 향기가 스며든다.",null,watchapedia
쁘띠 마망,3.5,"시공간을 초월한 오두막을 세운 소녀들  셀린 시아마 감독님, 다음에는 화면이 아닌 극장에서 만날 수 있기를 기대합니다!!#relationship#🎂#CGV 스페셜 GV",null,watchapedia
쁘띠 마망,5.0,눈물이 나는데 왜 나는지 모르겠는데 그냥 눈물이 콸콸 나는데 마음이 아파서가 아니라 너무 오래 잊고 있던 따뜻한 감정을 만나 흘린 눈물이었다,null,watchapedia
쁘띠 마망,4.0,맑고 곱다. 나와 너의 마음이 일치하는 아름다운 광경을 보았다.,null,watchapedia
쁘띠 마망,4.0,오랫동안 소망했던 착하고 아름다운 꿈을 만난 것 같다.,null,watchapedia
쁘띠 마망,4.5,"보통은 미래에게 답을 구하기 마련인데, 과거에게로 시선을 돌린다는 점이 참 좋았다. 이미 내 마음 속엔 네가 있거든.",null,watchapedia
쁘띠 마망,3.5,소중한 끈으로 이어지는 함께 쌓아올린 동화같은 만남,null,watchapedia
쁘띠 마망,4.0,무거웠을 마음과 밝히지 못했던 비밀 모두 낙엽 사이로 툭툭 털어냈길...적은 로케이션에도 아름다운 미술과 감각적인 편집을 보이는 셀린 시아마 감독,null,watchapedia
쁘띠 마망,4.0,갈수록 표현이 서툰 나는 그때의 당신을 포근하게 안아주고 싶다,null,watchapedia
